"filename", "language", "JSON with Comments", "TypeScript", "JSON", "TypeScript JSX", "Markdown", "XML", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\pages\RoomsPage\RoomsPage.tsx", "TypeScript JSX", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 6, 75
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\hooks.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\orderSlice.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 7, 48
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\pet\async-action.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\pet\petSlice.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\pet\types.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\posts\postsSlice.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\posts\postsThunkActions.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\store.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\thunkActions.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 5, 9, 55
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\todoSlice.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\userSlice.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 9, 60
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\types.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\vite-env.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\tsconfig.json", "JSON with Comments", 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\tsconfig.node.json", "JSON", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\vite.config.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\.eslintrc.json", "JSON with Comments", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\config\database.json", "JSON", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\migrations\1-20240304175853-create-user.js", "JavaScript", 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 1, 52
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\migrations\2-20240304175947-create-room.js", "JavaScript", 0, 0, 0, 0, 0, 0, 39, 0, 0, 1, 0, 40
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\migrations\3-20240304180036-create-pet.js", "JavaScript", 0, 0, 0, 0, 0, 0, 59, 0, 0, 1, 1, 61
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\migrations\4-20240304180118-create-order.js", "JavaScript", 0, 0, 0, 0, 0, 0, 67, 0, 0, 1, 1, 69
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\migrations\5-20240305103954-create-room-image.js", "JavaScript", 0, 0, 0, 0, 0, 0, 37, 0, 0, 1, 1, 39
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\migrations\6-20240305104011-create-pet-image.js", "JavaScript", 0, 0, 0, 0, 0, 0, 37, 0, 0, 1, 1, 39
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\migrations\7-20240305154554-create-post.js", "JavaScript", 0, 0, 0, 0, 0, 0, 51, 0, 0, 1, 0, 52
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\migrations\8-20240305154616-create-post-image.js", "JavaScript", 0, 0, 0, 0, 0, 0, 29, 0, 0, 1, 1, 31
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\migrations\9-20240307152058-create-comment.js", "JavaScript", 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 2, 39
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\models\comment.js", "JavaScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\models\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 7, 44
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\models\order.js", "JavaScript", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 2, 29
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\models\pet.js", "JavaScript", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 2, 29
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\models\petimage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 21
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\models\post.js", "JavaScript", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 2, 26
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\models\postimage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 20
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\models\room.js", "JavaScript", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 2, 24
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\models\roomimage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 21
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\models\user.js", "JavaScript", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 2, 28
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\seeders\1-20240305102433-seedRooms.js", "JavaScript", 0, 0, 0, 0, 0, 0, 103, 0, 0, 1, 2, 106
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\seeders\2-20240305104330-seedRoomImages.js", "JavaScript", 0, 0, 0, 0, 0, 0, 128, 0, 0, 1, 2, 131
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\lib\nodemailer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 22, 0, 0, 2, 5, 29
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\lib\randomizer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\package-lock.json", "JSON", 0, 0, 6204, 0, 0, 0, 0, 0, 0, 0, 1, 6205
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\package.json", "JSON", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 1, 47
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\routes\imageRoutes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 66, 0, 0, 1, 9, 76
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\routes\orderRoutes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 6, 46
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\routes\petsRoutes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 6, 89
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\routes\postsRoutes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 62, 0, 0, 1, 8, 71
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\routes\roomsRoutes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 4, 15
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\routes\stripeRoutes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 46, 0, 0, 1, 4, 51
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\routes\usersRoutes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 10, 175
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\server.js", "JavaScript", 0, 0, 0, 0, 0, 0, 46, 0, 0, 1, 8, 55
"Total", "-", 49, 343, 11171, 1945, 24, 2, 1444, 564, 14, 95, 445, 16096
