"filename", "language", "JavaScript", "JSON", "TypeScript JSX", "XML", "CSS", "TypeScript", "HTML", "comment", "blank", "total"
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\comment\types.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 0, 4, 17
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\orderSlice.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\client\src\redux\store.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\migrations\4-20240304180118-create-order.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\migrations\6-20240305104011-create-pet-image.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\migrations\9-20240307152058-create-comment.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\models\comment.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\models\order.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\models\user.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\jucki\OneDrive\Рабочий стол\Elbrus Folder\FINALPROJECT\zoo-hotel\server\db\seeders\20240311135258-seedUsers.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 1, 2, 47
